Carrier Concentration,Temperature,Conducitivty x,Conducitivty y,Conducitivty z,Conducitivty ave,Seebeck x,Seebeck y,Seebeck z,Seebeck ave,Kele x,Kele y,Kele z,Kele ave,Mobility x,Mobility y,Mobility z,Mobility ave,PF x,PF y,PF z,PF ave
7.5E+17,260,5021.65088,5021.65088,1312.30359,3785.2019,-246.139877,-246.139877,-269.115204,-253.798325,2.16E-02,2.16E-02,5.60E-03,1.63E-02,417.902374,417.902374,109.21006,315.004944,3.04E-04,3.04E-04,9.50E-05,2.44E-04
1E+18,260,6483.60352,6483.60352,1708.43628,4891.88135,-225.084747,-225.084747,-247.484085,-232.551193,2.83E-02,2.83E-02,7.40E-03,2.14E-02,404.674713,404.674713,106.63221,305.327209,3.28E-04,3.28E-04,1.05E-04,2.65E-04
2.5E+18,260,14155.2207,14155.2207,3870.0835,10726.8418,-163.824539,-163.824539,-183.83931,-170.49614,6.63E-02,6.63E-02,1.77E-02,5.01E-02,353.39975,353.39975,96.6206436,267.806732,3.80E-04,3.80E-04,1.31E-04,3.12E-04
5E+18,260,24983.0664,24983.0664,7110.35742,19025.498,-125.132263,-125.132263,-142.07637,-130.780289,0.12487077,0.12487077,3.41E-02,9.46E-02,311.864075,311.864075,88.7587204,237.495621,3.91E-04,3.91E-04,1.44E-04,3.25E-04
7.5E+18,260,35007.7188,35007.7188,10226.8271,26747.4219,-105.833488,-105.833488,-120.372154,-110.67971,0.180211946,0.180211946,5.03E-02,0.136909232,291.334686,291.334686,85.1077805,222.592392,3.92E-04,3.92E-04,1.48E-04,3.28E-04
1E+19,260,44930.4102,44930.4102,13337.7109,34399.5117,-93.142601,-93.142601,-105.817734,-97.3676453,0.235883757,0.235883757,6.67E-02,0.179496363,280.433563,280.433563,83.2474442,214.704849,3.90E-04,3.90E-04,1.49E-04,3.26E-04
2.5E+19,260,100813.727,100813.727,31400.6562,77676.0391,-58.3604355,-58.3604355,-66.2924957,-61.0044556,0.55892688,0.55892688,0.167089731,0.428314477,251.69191,251.69191,78.394989,193.92627,3.43E-04,3.43E-04,1.38E-04,2.89E-04
5E+19,260,182612.203,182612.203,58876.5469,141366.984,-38.8345985,-38.8345985,-43.9983139,-40.5558357,1.05702019,1.05702019,0.325408727,0.813149691,227.955154,227.955154,73.4957047,176.468674,2.75E-04,2.75E-04,1.14E-04,2.33E-04
7.5E+19,260,256201.969,256201.969,82122.7344,198175.562,-30.3177319,-30.3177319,-34.1944122,-31.6099606,1.52323377,1.52323377,0.472524971,1.17299747,213.211578,213.211578,68.3426437,164.921936,2.35E-04,2.35E-04,9.60E-05,1.98E-04
1E+20,260,322465.281,322465.281,103805.984,249578.859,-26.2011547,-26.2011547,-29.89888,-27.4337311,1.94807696,1.94807696,0.614796758,1.50365019,201.266998,201.266998,64.790596,155.774857,2.21E-04,2.21E-04,9.28E-05,1.88E-04
2.5E+20,260,688592.5,688592.5,287169.406,554784.812,-27.4538746,-27.4538746,-43.1282768,-32.6786766,4.23723507,4.23723507,1.6634351,3.37930179,171.914261,171.914261,71.6948166,138.507782,5.19E-04,5.19E-04,5.34E-04,5.92E-04
5E+20,260,1260631.62,1260631.62,632380.5,1051214.62,-22.2688084,-22.2688084,-30.2427883,-24.9268017,7.73377228,7.73377228,3.75850487,6.4086833,157.364868,157.364868,78.9401703,131.223312,6.25E-04,6.25E-04,5.78E-04,6.53E-04
7.5E+20,260,1801297.12,1801297.12,1027399.06,1543331.12,-20.2133636,-20.2133636,-26.0774899,-22.1680737,10.9646311,10.9646311,5.79391766,9.2410593,149.90416,149.90416,85.5002747,128.436203,7.36E-04,7.36E-04,6.99E-04,7.58E-04
1E+21,260,2319120.75,2319120.75,1331801.25,1990014.38,-17.3765087,-17.3765087,-18.1929169,-17.6486454,14.2008362,14.2008362,7.71073008,12.037468,144.748138,144.748138,83.1244888,124.206917,7.00E-04,7.00E-04,4.41E-04,6.20E-04
1E+16,280,65.9541473,65.9541473,16.8932076,49.6004982,-618.64093,-618.64093,-642.681213,-626.654358,2.94E-04,2.94E-04,7.62E-05,2.21E-04,411.653442,411.653442,105.439117,309.582001,2.52E-05,2.52E-05,6.98E-06,1.95E-05
2.5E+16,280,164.306854,164.306854,42.118763,123.577492,-539.997559,-539.997559,-563.971008,-547.988708,7.34E-04,7.34E-04,1.90E-04,5.53E-04,410.209076,410.209076,105.153847,308.524017,4.79E-05,4.79E-05,1.34E-05,3.71E-05
5E+16,280,326.91333,326.91333,83.9059372,245.910873,-480.756653,-480.756653,-504.632416,-488.71524,1.46E-03,1.46E-03,3.80E-04,1.10E-03,408.086548,408.086548,104.739937,306.971008,7.56E-05,7.56E-05,2.14E-05,5.87E-05
7.5E+16,280,488.017914,488.017914,125.387009,367.140961,-446.286407,-446.286407,-470.021637,-454.198151,2.19E-03,2.19E-03,5.68E-04,1.65E-03,406.129089,406.129089,104.347229,305.535126,9.72E-05,9.72E-05,2.77E-05,7.57E-05
1E+17,280,647.697021,647.697021,166.60434,487.332794,-421.952759,-421.952759,-445.601532,-429.835693,2.91E-03,2.91E-03,7.56E-04,2.20E-03,404.260681,404.260681,103.986252,304.16922,1.15E-04,1.15E-04,3.31E-05,9.00E-05
2.5E+17,280,1578.86804,1578.86804,408.705963,1188.81409,-345.531372,-345.531372,-368.690155,-353.250977,7.19E-03,7.19E-03,1.87E-03,5.42E-03,394.180786,394.180786,102.037682,296.799744,1.89E-04,1.89E-04,5.56E-05,1.48E-04
5E+17,280,3045.4939,3045.4939,795.737183,2295.57495,-289.745056,-289.745056,-312.228058,-297.23938,1.41E-02,1.41E-02,3.70E-03,1.07E-02,380.169556,380.169556,99.332016,286.557037,2.56E-04,2.56E-04,7.76E-05,2.03E-04
7.5E+17,280,4426.58594,4426.58594,1166.12158,3339.7644,-258.363434,-258.363434,-280.264557,-265.663818,2.09E-02,2.09E-02,5.49E-03,1.58E-02,368.381012,368.381012,97.0447693,277.935577,2.95E-04,2.95E-04,9.16E-05,2.36E-04
1E+18,280,5740.74854,5740.74854,1523.38452,4334.96045,-236.912033,-236.912033,-258.299561,-244.041214,2.75E-02,2.75E-02,7.25E-03,2.07E-02,358.309326,358.309326,95.0821762,270.566925,3.22E-04,3.22E-04,1.02E-04,2.58E-04
2.5E+18,280,12735.3262,12735.3262,3493.57495,9654.74219,-174.089813,-174.089813,-193.185059,-180.454895,6.48E-02,6.48E-02,1.74E-02,4.90E-02,317.950592,317.950592,87.2207184,241.040634,3.86E-04,3.86E-04,1.30E-04,3.14E-04
5E+18,280,22748.5293,22748.5293,6473.82373,17323.627,-133.704346,-133.704346,-149.975067,-139.127914,0.122395866,0.122395866,3.37E-02,9.28E-02,283.970306,283.970306,80.8128662,216.25116,4.07E-04,4.07E-04,1.46E-04,3.35E-04
7.5E+18,280,32056.6094,32056.6094,9339.03516,24484.084,-113.463036,-113.463036,-127.309761,-118.078613,0.178002194,0.178002194,4.97E-02,0.135243967,266.775482,266.775482,77.7195587,203.756836,4.13E-04,4.13E-04,1.51E-04,3.41E-04
