T [K],(k/t)_xx [W/m.K.ps],(k/t)_yy [W/m.K.ps],(k/t)_zz [W/m.K.ps],(k/t)_yz [W/m.K.ps],(k/t)_xz [W/m.K.ps],(k/t)_xy [W/m.K.ps],(k/t)_iso [W/m.K.ps],(t^CRTA)_xx [ps],(t^CRTA)_yy [ps],(t^CRTA)_zz [ps],(t^CRTA)_yz [ps],(t^CRTA)_xz [ps],(t^CRTA)_xy [ps],(t^CRTA)_iso [ps],k_xx [W/m.K],k_yy [W/m.K],k_zz [W/m.K],k_yz [W/m.K],k_xz [W/m.K],k_xy [W/m.K],k_iso [W/m.K]
480.0,0.8152665055052866,0.4606057204844523,0.9551477002745437,-1.4263384656904169e-19,-1.6459222563698618e-17,-1.858708877240612e-36,0.7436733087547609,1.4458078883113454,1.8397334369106872,2.0932131987703757,11.579131628378054,2.5841565300153677,-1.0290970418570005,1.8043040385001712,1.1787187447355683,0.8473917452075849,1.9993277729898458,-1.6515760840848132e-18,-4.253320746695806e-17,1.9127918072416602e-36,1.3418127543109997
490.0,0.8160465455230489,0.4611060962552456,0.9559442561142852,-1.4231947604511651e-19,-1.647192188566028e-17,-1.8620161217375233e-36,0.7443656326308599,1.4149925740766514,1.8001674076183778,2.0484219033136815,11.362989268539097,2.5288324369365847,-1.0032270424409475,1.7656847422256063,1.1546998020160184,0.8300681659328357,1.9581771525714058,-1.6171746790047662e-18,-4.165473036314335e-17,1.868024926788099e-36,1.31431504017342
500.0,0.8167813561384697,0.46157762287447934,0.9566946452483001,-1.420231201930294e-19,-1.648388651089776e-17,-1.8651311883527348e-36,0.7450178747537496,1.3854868130738354,1.762302812363677,2.005543731382632,11.154444594897258,2.475872516306491,-0.9786851926857767,1.728715699567342,1.1316397980944137,0.8134395429158356,1.9186929486250592,-1.5841890253875804e-18,-4.0812001574247064e-17,1.8253762764572477e-36,1.2879240965451029
510.0,0.8174743476694608,0.4620224602972207,0.9574023468483417,-1.4174344073781648e-19,-1.6495171683897676e-17,-1.8680686036054856e-36,0.7456330516050078,1.3572076465660503,1.7260304142601481,1.9644568228817767,10.953119852975828,2.4251261267728825,-0.9553700863525753,1.6932917241391512,1.1094824355285862,0.7974648185443047,1.88077557250925,-1.5525328947744805e-18,-4.00028718162245e-17,1.7846968631391074e-36,1.2625742755273803
520.0,0.8181286167960705,0.4624425715077813,0.9580705203062149,-1.4147922026449886e-19,-1.650582758488385e-17,-1.8708415543483866e-36,0.7462139028700221,1.3300790581134347,1.6912502456711556,1.9250495703690567,10.75866092840873,2.37645530189849,-0.9331903976577808,1.6593164872820036,1.0881757400437646,0.782106112671336,1.8443332434987376,-1.5221269592413966e-18,-3.922536147631958e-17,1.7458513740570717e-36,1.2382050320712794
530.0,0.8187469803498497,0.4628397435298548,0.9587020396622545,-1.4122934947894574e-19,-1.651589987337887e-17,-1.8734620325219845e-36,0.7467629211806529,1.304031256018402,1.657870636999821,1.8872195541505474,10.570735597330867,2.329733434046438,-0.9120636658392854,1.6267015970184455,1.0676716531468884,0.7673284204346742,1.8092812358546204,-1.4928981119249732e-18,-3.8477644128374086e-17,1.70871664919272e-36,1.2147604364787277
540.0,0.8193320049558572,0.4632156058874887,0.9592995238109874,-1.4099281599216128e-19,-1.6525430165329238e-17,-1.8759409620875332e-36,0.7472823782181112,1.2790000435199647,1.6258073657840015,1.8508726081457156,10.389031924759108,2.284844119775827,-0.891915250073777,1.5953657902612834,1.0479256699958415,0.7530993439979783,1.7755412116289853,-1.46477886650425e-18,-3.775803194001858e-17,1.6731803523239438e-36,1.1921887418742683
550.0,0.8198860330956023,0.4635716468615652,0.9598653630621723,-1.4076869442560855e-19,-1.653445645285474e-17,-1.8782883105873515e-36,0.7477743476731132,1.2549262644144046,1.5949829090009455,1.8159219980975,10.213256796803593,2.2416801440146594,-0.8726774277525837,1.5652342222947508,1.0288965167582091,0.7393888538416185,1.7430406279964423,-1.4377068251195145e-18,-3.706496272243953e-17,1.639139811461116e-36,1.17044199953209
560.0,0.8204112060736263,0.4639092278353394,0.9604017425484161,-1.4055613766454764e-19,-1.654301347432501e-17,-1.8805131874125105e-36,0.7482407254857939,1.2317553137239077,1.5653257842125798,1.7822876966159558,10.043134574113353,2.2001425838679363,-0.854288613864991,1.5362378400785013,1.0105458625198291,0.7261690758648051,1.7117122095525665,-1.4116242057826545e-18,-3.6396988410363515e-17,1.6065010042294698e-36,1.149475715979067
570.0,0.8209094842988242,0.4642295959796845,0.9609106628977419,-1.403543691111797e-19,-1.6551133041329402e-17,-1.8826239305478107e-36,0.7486832477254168,1.2094367046400736,1.5367699674286368,1.7498957419497476,9.878405855312192,2.1601400158833455,-0.8366926830717519,1.5083128280139286,0.9928380614981521,0.713414101093109,1.6814934773988677,-1.3864774216465263e-18,-3.5752764790784655e-17,1.5751776676651352e-36,1.1292485466633762
580.0,0.821382665231561,0.4645338954925691,0.9613939585284201,-1.4016267581031025e-19,-1.6558844328152022e-17,-1.884628183305029e-36,0.7491035064175167,1.1879236842999323,1.5092543774234328,1.7186776693730423,9.71882634036153,2.1215878130544756,-0.8198383791589566,1.4814001165428239,0.975739921901974,0.7010998152337194,1.6523263279929485,-1.3622167056007971e-18,-3.513104232487355e-17,1.5450905151180842e-36,1.1097220217095474
590.0,0.8218323992970932,0.4648231775768357,0.961853313871981,-1.3998040233802193e-19,-1.6566174128559467e-17,-1.8865329623370982e-36,0.7495029635819701,1.1671728920596323,1.4827224177857017,1.6885700057336064,9.56416578482001,2.084407519886555,-0.8036787990999661,1.4554449453875726,0.9592204982758947,0.6892037456995584,1.6241566557196996,-1.3387957745866483e-18,-3.453065792931945e-17,1.5161665456335807e-36,1.0908602998983843
600.0,0.8222602040232111,0.4650984093145735,0.9622902777869843,-1.3980694535890847e-19,-1.6573147084030484e-17,-1.888344718041934e-36,0.7498829637082564,1.1471440548559682,1.4571215692679695,1.6595138190925423,9.41420703688154,2.0485262955577292,-0.788170941027902,1.4303964744433546,0.943250904589882,0.6777049240444878,1.5969340139659016,-1.316171528802749e-18,-3.395052760178235e-17,1.4883384334041794e-36,1.072629947533424
610.0,0.822667476623968,0.4653604815745299,0.9627062763894386,-1.3964174877025733e-19,-1.6579785886981977e-17,-1.8900693883097116e-36,0.7502447448626455,1.1277997150215024,1.4324030260788019,1.6314543165463078,9.268745149878134,2.01387641664062,-0.7732753071267662,1.4062074363391173,0.9278041456939697,0.6665837620248453,1.5706113101817725,-1.2943037816348236e-18,-3.338963979074399e-17,1.4615439867360914e-36,1.0549997393001957
620.0,0.8230555052207964,0.46561021607042985,0.9631026244946915,-1.394842993625081e-19,-1.6586111462058645e-17,-1.8917124464351173e-36,0.750589448595306,1.1091049865713631,1.4085213706656043,1.604340484297263,9.127586563650087,1.9803948320529436,-0.7589555538583255,1.382833825530047,0.912854965065398,0.65582193973543,1.5451445310097787,-1.2731550167013755e-18,-3.284704942331503e-17,1.4357256675248525e-36,1.0379404786035356
630.0,0.8234254788663571,0.465848371672248,0.9634805358391588,-1.393341229346579e-19,-1.6592143128138256e-17,-1.8932789439044434e-36,0.7509181287925879,1.091027336530437,1.3854342822974415,1.5781247648620615,8.990548348822,1.9480227639221344,-0.7451781831074796,1.360234619497721,0.8983797070388612,0.6454023044671727,1.5204924940703455,-1.25269016888475e-18,-3.232187251586754e-17,1.410830163534361e-36,1.0214248351921265
640.0,0.8237784965143111,0.4660756500589673,0.9638411322277508,-1.3919078081130698e-19,-1.6597898743351456e-17,-1.894773548672444e-36,0.7512317596003432,1.0735363883358917,1.3631022754013644,1.5527627670037865,8.857457508591663,1.9167053489089583,-0.7319122687974471,1.3383715282378308,0.8843561919367446,0.6353087791045483,1.4966166234300249,-1.2328764266238474e-18,-3.1813281302031016e-17,1.3868080068662386e-36,1.005427198157106
650.0,0.824115575059317,0.46629270078978635,0.9641854517335992,-1.3905386671490257e-19,-1.660339483511222e-17,-1.8962005794617983e-36,0.7515312425275675,1.0566037447459096,1.3414884641516724,1.5282130045650957,8.72815033314741,1.886391315265432,-0.7191292143366694,1.3172087687277352,0.870763602711103,0.6255262790276258,1.4734807461517576,-1.2136830530931124e-18,-3.132049982087862e-17,1.3636132329331003e-36,0.9899235426301621
660.0,0.8244376565553637,0.46650012586082756,0.9645144560602258,-1.3892300395264378e-19,-1.660864671689652e-17,-1.897564036549063e-36,0.7518174128254723,1.0402028280228546,1.320558350275923,1.5044366608831639,8.602471802285004,1.8570326915243593,-0.7068025369343455,1.2967128615022883,0.8575823818774243,0.6160406366102849,1.4510509076487872,-1.1950812241913462e-18,-3.0842799915255564e-17,1.3412030750282547e-36,0.9748913087121654
670.0,0.8247456147066723,0.4666984838058533,0.9648290371621446,-1.3879784288262517e-19,-1.66136685932841e-17,-1.8988676294410723e-36,0.7520910452248901,1.024308735447231,1.3002796314374991,1.4813973758972125,8.480275032203838,1.8285845432489172,-0.6949076753906956,1.2768524468387716,0.8447941376658407,0.6068385325155147,1.4292952038414353,-1.1770438815212775e-18,-3.037949759633929e-17,1.3195376902495365e-36,0.9603092913409302
680.0,0.8250402607134526,0.4668882933921744,0.965130023207754,-1.3867805862816425e-19,-1.661847365458709e-17,-1.900114801794192e-36,0.7523528591044603,1.0088981084656765,1.2806220278933207,1.4590610534275588,8.361420762830985,1.801004734725672,-0.6834218184472174,1.2575981183705591,0.832381558441831,0.5979074330835381,1.4081836283560698,-1.1595455987626251e-18,-2.9929949735825185e-17,1.2985799131006608e-36,0.9461575399604797
690.0,0.8253223485445148,0.46707003695657423,0.9654181839578668,-1.385633490130847e-19,-1.6623074162224373e-17,-1.901308753885154e-36,0.7526035231529852,0.9939490139882727,1.261557125415761,1.4373956864212738,8.245776882351892,1.7742537128749496,-0.6723237511853447,1.2389222722228128,0.820328334558306,0.589235533190769,1.3876879332136975,-1.1425624600333508e-18,-2.9493551051722235e-17,1.2782950335736001e-36,0.9324172669875909
700.0,0.8255925796998589,0.4672441634205961,0.9656942356242122,-1.3845343269402104e-19,-1.6627481525857817e-17,-1.9024524629034363e-36,0.7528436595815556,0.9794408365330712,1.2430582327176685,1.4163711982315983,8.133217985925151,1.7482943109888764,-0.6615937173066341,1.22079896999903,0.808619086896726,0.5808117040292518,1.3677815016364128,-1.1260719490000892e-18,-2.906973135772987e-17,1.258650596931446e-36,0.9190707641874635
710.0,0.8258516075186677,0.4674110910197976,0.9659588452643965,-1.3834804746865012e-19,-1.6631706373183215e-17,-1.9035487013027928e-36,0.7530738479342872,0.9653541800733929,1.2251002518347127,1.3959592982331224,8.023624965828974,1.7230915701974916,-0.6512132954163965,1.2032038141504775,0.7972393014384769,0.5726254453186919,1.3484392317573644,-1.110052847643153e-18,-2.8657953049631895e-17,1.2396162227609935e-36,0.9061013261715111
