Carrier Concentration,Temperature,Conducitivty x,Conducitivty y,Conducitivty z,Conducitivty ave,Seebeck x,Seebeck y,Seebeck z,Seebeck ave,Kele x,Kele y,Kele z,Kele ave,Mobility x,Mobility y,Mobility z,Mobility ave,PF x,PF y,PF z,PF ave,ADP,ADP,ADP,ADP,IMP,IMP,IMP,IMP,PIE,PIE,PIE,PIE,POP,POP,POP,POP
2.00E+19,220,25641.1777,228193.594,119772.609,124535.789,200.516678,152.533997,160.781113,171.277267,0.115782261,0.943598747,0.529165149,0.529515386,80.0198212,712.136169,373.780914,388.64563,1.03E-03,5.31E-03,3.10E-03,3.65E-03,1998.62195,16731.875,12497.8164,10409.4375,1840.64319,37057.6602,4370.479,14422.9287,0,0,0,0,105.936363,900.408264,464.533905,490.292847
4.00E+19,220,50167.5273,385788.188,208551.609,214835.766,153.950333,114.390564,123.996376,130.779083,0.220991671,1.6651392,0.930998206,0.939043045,78.2802658,601.975098,325.419189,335.224854,1.19E-03,5.05E-03,3.21E-03,3.67E-03,1662.5321,11081.7383,7881.27344,6875.18115,617.865112,12605.8105,2891.29639,5371.65771,0,0,0,0,104.835793,780.703369,412.407257,432.648804
6.00E+19,220,75479.0781,522072.094,290026.781,295859.344,126.593369,94.1537094,103.540009,108.095695,0.327590525,2.3199544,1.2932409,1.31359529,78.5172272,543.086304,301.700806,307.768097,1.21E-03,4.63E-03,3.11E-03,3.46E-03,1503.91235,8149.55518,6273.52441,5308.99756,662.368408,10969.2305,2267.21753,4632.93896,0,0,0,0,106.652458,724.474243,392.366547,407.831085
8.00E+19,220,101637.898,646872.188,369446.375,372652.156,106.352097,80.3446121,88.5779495,91.7582169,0.44034043,2.9535563,1.63783908,1.67724526,79.29673,504.682312,288.237854,290.738983,1.15E-03,4.18E-03,2.90E-03,3.14E-03,1420.72034,6686.97607,5475.72656,4527.80762,493.057129,4265.75049,1875.50012,2211.43579,0,0,0,0,109.891571,695.796936,385.192963,396.96048
1.00E+20,220,127877.031,764003.625,447136.125,446338.906,90.7724762,70.6407776,76.5661774,79.3264771,0.555619597,3.54258347,1.96188211,2.02002835,79.8145676,476.853546,279.080414,278.582855,1.05E-03,3.81E-03,2.62E-03,2.81E-03,1343.99695,5543.79297,4832.40771,3906.73242,445.076965,3247.89526,1630.83679,1774.60303,0,0,0,0,113.018112,678.321655,383.218628,391.51944
1.00E+16,240,14.7804174,156.074402,82.888298,84.5810318,833.794495,775.955383,776.544678,795.431458,7.16E-05,6.26E-04,3.61E-04,3.53E-04,92.2521057,974.139771,517.348022,527.913269,1.03E-05,9.40E-05,5.00E-05,5.35E-05,3645.45801,24677.0254,28412.4531,18911.6465,32832.1523,315291.125,139599.547,162574.266,0,0,0,0,101.993881,1061.19385,557.317078,573.501648
2.00E+16,240,29.3283768,309.621246,164.243866,167.731155,774.794678,716.895203,717.707214,736.465759,1.42E-04,1.24E-03,7.16E-04,7.01E-04,91.5266647,966.251831,512.564819,523.447754,1.76E-05,1.59E-04,8.46E-05,9.10E-05,3643.40967,24668.8145,28393.2988,18901.8418,22139.3496,218693.219,96633.125,112488.562,0,0,0,0,101.988861,1060.97314,557.161011,573.374329
4.00E+16,240,58.0319252,612.580994,324.504303,331.705719,715.839111,657.991028,659.101746,677.643982,2.81E-04,2.46E-03,1.42E-03,1.39E-03,90.5516968,955.857483,506.349182,517.586121,2.97E-05,2.65E-04,1.41E-04,1.52E-04,3638.07544,24640.7656,28351.127,18876.6562,17646.8027,451386.406,86699.7656,185244.328,0,0,0,0,101.956993,1060.66248,556.897156,573.17218
6.00E+16,240,86.4180298,911.825623,482.576202,493.606598,681.584045,623.686035,624.993896,643.421326,4.19E-04,3.67E-03,2.11E-03,2.07E-03,89.8964844,948.527954,502.00061,513.475037,4.01E-05,3.55E-04,1.89E-04,2.04E-04,3633.99634,24624.3652,28312.9824,18857.1152,12861.8516,138436.672,57845.207,69714.5781,0,0,0,0,101.94693,1060.22156,556.586182,572.918213
8.00E+16,240,114.55542,1208.29138,639.026001,653.957581,657.340088,599.404907,600.866821,619.203918,5.57E-04,4.87E-03,2.80E-03,2.74E-03,89.3748322,942.695129,498.560791,510.210236,4.95E-05,4.34E-04,2.31E-04,2.51E-04,3629.92847,24607.9844,28274.9336,18837.6152,11097.126,117002.438,50266.1094,59455.2227,0,0,0,0,101.93689,1059.78101,556.27594,572.664612
