Carrier Concentration,Temperature,Conducitivty x,Conducitivty y,Conducitivty z,Conducitivty ave,Seebeck x,Seebeck y,Seebeck z,Seebeck ave,Kele x,Kele y,Kele z,Kele ave,Mobility x,Mobility y,Mobility z,Mobility ave,PF x,PF y,PF z,PF ave,ADP,ADP,ADP,ADP,IMP,IMP,IMP,IMP,PIE,PIE,PIE,PIE,POP,POP,POP,POP
1.00E+19,220,9226.24219,143803.078,115198.656,89409.3203,160.256989,136.263962,120.571396,139.030777,4.58E-02,0.610816658,0.425865084,0.360837489,57.5856743,897.548218,719.013428,558.049133,2.37E-04,2.67E-03,1.67E-03,1.73E-03,1329.13367,19427.5664,21191.5898,13982.7627,409.899506,9052.37793,6413.56055,5291.9458,0,0,0,0,78.769577,1144.73865,911.822144,711.776794
2.00E+19,220,16606.8848,247797.516,184168.25,149524.219,127.624779,100.676888,82.821167,103.707611,8.67E-02,1.07392001,0.709132254,0.623250008,51.8260117,773.315186,574.743896,466.628326,2.70E-04,2.51E-03,1.26E-03,1.61E-03,897.51355,14031.4004,13560.0713,9496.32812,330.591644,6716.21387,4248.31592,3765.04028,0,0,0,0,72.5769043,999.608704,740.105103,604.096863
4.00E+19,220,29873.0605,392921.094,259477.641,227423.938,104.534409,72.4673538,53.3687172,76.7901611,0.159145221,1.79091537,1.07128227,1.00711429,46.6132431,613.105164,404.882996,354.867096,3.26E-04,2.06E-03,7.39E-04,1.34E-03,620.1698,8580.08594,7201.28467,5467.18018,274.04303,4682.8252,2629.85229,2528.90698,0,0,0,0,67.8479691,826.373047,542.53772,478.919586
6.00E+19,220,41719.2109,490685.156,299603.531,277335.969,94.5339203,61.0429268,40.0269127,65.2012558,0.220204622,2.30031347,1.27493525,1.26515114,43.3984756,510.435974,311.663025,288.499176,3.73E-04,1.83E-03,4.80E-04,1.18E-03,496.221954,5946.19043,4595.66113,3679.35815,241.476517,3502.24048,1921.49243,1888.4032,0,0,0,0,65.2573776,719.231995,434.76062,406.416656
8.00E+19,220,52644.5547,565054.562,320830.5,312843.219,87.9146805,54.4307899,31.6327953,57.9927559,0.274682581,2.70338368,1.41144848,1.4631716,41.0726852,440.849152,250.308304,244.076721,4.07E-04,1.67E-03,3.21E-04,1.05E-03,427.95752,4475.34082,3229.94092,2711.07983,209.961456,2714.47144,1408.10681,1444.17981,0,0,0,0,63.3643494,647.059814,361.92627,357.450165
1.00E+20,220,63046.7227,625825.75,331745.562,340206.031,82.6746521,49.9988022,26.2358017,52.9697571,0.326446652,3.04666615,1.51845789,1.63052356,39.3506699,390.609711,207.059296,212.33989,4.31E-04,1.56E-03,2.28E-04,9.55E-04,385.952881,3582.50391,2443.03882,2137.16528,187.625061,2189.73608,1086.51685,1154.62598,0,0,0,0,62.0138779,594.392395,308.925079,321.7771
1.00E+16,240,12.6312857,218.771271,193.222672,141.541748,719.714783,686.565186,671.400879,692.560303,5.93E-05,8.32E-04,6.06E-04,4.99E-04,78.8382797,1365.46277,1206.00098,883.434021,6.54E-06,1.03E-04,8.71E-05,6.79E-05,13205.2656,26296.9336,55743.0273,31748.4082,8273.86816,189947.078,191987.141,130069.367,0,0,0,0,86.8830643,1513.18945,1313.71594,971.262878
2.00E+16,240,24.9568253,431.590729,380.427612,278.99173,660.616455,627.714783,612.680298,633.670532,1.17E-04,1.65E-03,1.20E-03,9.87E-04,77.8841248,1346.88867,1187.22119,870.664734,1.09E-05,1.70E-04,1.43E-04,1.12E-04,13169.4072,26277.5938,55648.8711,31698.625,6546.23975,136175.812,189283.422,110668.492,0,0,0,0,86.8435822,1512.06201,1312.52698,970.477539
4.00E+16,240,49.1276131,847.912292,745.383118,547.474365,601.886536,569.26123,554.335327,575.161011,2.33E-04,3.26E-03,2.37E-03,1.95E-03,76.6576157,1323.06311,1163.07886,854.266541,1.78E-05,2.75E-04,2.29E-04,1.81E-04,13099.0049,26250.0684,55464.8164,31604.6309,4287.60254,97704.3203,99369.1016,67120.3438,0,0,0,0,86.7745667,1509.94043,1310.25635,968.990417
6.00E+16,240,72.8559494,1255.7168,1101.74219,810.10498,567.676697,535.243713,520.393188,541.104553,3.46E-04,4.85E-03,3.52E-03,2.90E-03,75.7885132,1306.26123,1146.08899,842.712891,2.35E-05,3.60E-04,2.98E-04,2.37E-04,13029.1406,26222.5859,55281.9258,31511.2188,3525.8269,80472.2812,80773.1172,54923.7383,0,0,0,0,86.7058868,1507.82654,1307.99548,967.509277
