T [K],k_xx [W/m.K],k_yy [W/m.K],k_zz [W/m.K],k_yz [W/m.K],k_xz [W/m.K],k_xy [W/m.K],k_iso [W/m.K]
670.0,0.7310806874664072,0.42248074317342627,0.9714586749324239,-1.0377339033599984e-18,0.0,0.0,0.7083400351907524
680.0,0.7203577648860114,0.41629184189123647,0.9571892852824578,-1.022428088645487e-18,0.0,0.0,0.6979462973532352
690.0,0.7099444640882167,0.4102813186188788,0.9433328028541655,-1.0075678363296623e-18,0.0,0.0,0.6878528618537536
700.0,0.6998275809797633,0.404441584232434,0.9298715696559346,-9.931339437237397e-19,0.0,0.0,0.6780469116227107
710.0,0.6899946509310554,0.39876547339697993,0.9167889199725101,-9.791082973703692e-19,0.0,0.0,0.6685163481001819
720.0,0.6804338977784682,0.3932462154378277,0.9040691116566109,-9.654737967993337e-19,0.0,0.0,0.6592497416243023
730.0,0.6711341869857824,0.3878774075782957,0.8916972630498556,-9.522142846065556e-19,0.0,0.0,0.6502362858713112
740.0,0.662084982574661,0.3826529903230052,0.8796592950022817,-9.393144822523292e-19,0.0,0.0,0.6414657559666493
750.0,0.653276307475307,0.37756722478893556,0.8679418775162022,-9.26759931039659e-19,0.0,0.0,0.6329284699268148
760.0,0.6446987069848538,0.37261467180700925,0.856532380589838,-9.145369377911505e-19,0.0,0.0,0.6246152531272336
770.0,0.6363432150531864,0.3677901726351506,0.8454188288801743,-9.026325247932783e-19,0.0,0.0,0.6165174055228371
780.0,0.6282013231444242,0.3630888311398676,0.8345898598433446,-8.910343836216223e-19,0.0,0.0,0.6086266713758788
790.0,0.6202649514475538,0.3585059973176986,0.8240346850453703,-8.797308325001538e-19,0.0,0.0,0.6009352112702075
800.0,0.6125264222321851,0.3540372520405728,0.8137430543666673,-8.68710776882687e-19,0.0,0.0,0.5934355762131417
810.0,0.6049784351653832,0.3496783929204538,0.8037052228509949,-8.579636729756699e-19,0.0,0.0,0.5861206836456107
820.0,0.5976140444233415,0.3454254211987145,0.7939119199737456,-8.4747949394922e-19,0.0,0.0,0.5789837951986004
830.0,0.5904266374475734,0.3412745295747127,0.7843543211261156,-8.372486986078182e-19,0.0,0.0,0.5720184960494672
840.0,0.5834099152094945,0.3372220908960809,0.7750240211310113,-8.272622023141294e-19,0.0,0.0,0.565218675745529
850.0,0.5765578738600019,0.3332646476404614,0.7659130096238304,-8.175113499789555e-19,0.0,0.0,0.5585785103747646
860.0,0.5698647876520332,0.329398902124887,0.757013648146728,-8.079878909479133e-19,0.0,0.0,0.5520924459745494
870.0,0.5633251930343356,0.32562170738480606,0.7483186488188677,-7.986839556310964e-19,0.0,0.0,0.5457551830793365
880.0,0.5569338738238512,0.3219300586699766,0.7398210544576086,-7.895920337361136e-19,0.0,0.0,0.5395616623171454
890.0,0.5506858473724002,0.3183210855091455,0.7315142200368061,-7.807049539774865e-19,0.0,0.0,0.533507050972784
900.0,0.5445763516507733,0.31479204429966334,0.723391795378481,-7.720158651468307e-19,0.0,0.0,0.5275867304429726
910.0,0.5386008331800896,0.3113403113820007,0.7154477089832124,-7.635182184384143e-19,0.0,0.0,0.5217962845151008
920.0,0.5327549357463003,0.30796337656258466,0.7076761529128215,-7.552057509339735e-19,0.0,0.0,0.5161314884072356
930.0,0.5270344898392361,0.304658837051489,0.7000715686463266,-7.470724701589809e-19,0.0,0.0,0.5105882985123505
940.0,0.5214355027625228,0.3014243917843321,0.6926286338368506,-7.391126396300476e-19,0.0,0.0,0.5051628427945686
950.0,0.5159541493652053,0.2982578361002981,0.6853422499032561,-7.313207653200205e-19,0.0,0.0,0.4998514117895865
960.0,0.510586763349981,0.2951570567505159,0.6782075303957692,-7.236915829734278e-19,0.0,0.0,0.49465045016542203
970.0,0.5053298291166419,0.2921200272131367,0.6712197900798579,-7.162200462105681e-19,0.0,0.0,0.48955654880321214
980.0,0.500179974102694,0.28914480329336634,0.6643745346871769,-7.089013153635661e-19,0.0,0.0,0.4845664373610791
990.0,0.495133961586168,0.28622951898845084,0.6576674512865028,-7.017307469923869e-19,0.0,0.0,0.47967697728704056
1000.0,0.4901886839184278,0.28337238259920067,0.6510943992313571,-6.947038840328934e-19,0.0,0.0,0.47488515524966185
