Carrier Concentration,Temperature,Conducitivty x,Conducitivty y,Conducitivty z,Conducitivty ave,Seebeck x,Seebeck y,Seebeck z,Seebeck ave,Kele x,Kele y,Kele z,Kele ave,Mobility x,Mobility y,Mobility z,Mobility ave,PF x,PF y,PF z,PF ave,ADP,ADP,ADP,ADP,IMP,IMP,IMP,IMP,PIE,PIE,PIE,PIE,POP,POP,POP,POP
8.00E+18,220,55505.2734,73307.7734,24209.6113,51007.5508,-233.626297,-170.24791,-196.426727,-200.100296,0.227884859,0.286310911,0.102803513,0.205666438,433.045837,571.938904,188.88063,397.955109,3.03E-03,2.12E-03,9.34E-04,2.04E-03,8448.81934,61332.2695,4460.46826,24747.1855,4497.25195,5602.51221,1793.40576,3964.38989,0,0,0,0,576.743469,722.275696,240.777176,513.265442
1.00E+19,220,69372.1562,87357.3516,29384.793,62038.0977,-215.191513,-156.612778,-181.665909,-184.490067,0.288070142,0.344675034,0.126129523,0.252958208,432.986938,545.241699,183.405441,387.211334,3.21E-03,2.14E-03,9.70E-04,2.11E-03,8287.94922,49633.3164,4225.57617,20715.6152,4056.64917,4917.04395,1621.27905,3531.65747,0,0,0,0,586.423523,687.592163,234.31044,502.77536
2.00E+19,220,137009,147660.953,52869.4023,112513.117,-161.437897,-116.529213,-139.71199,-139.226364,0.591456354,0.610535443,0.233789384,0.478593737,427.571472,460.813629,164.992432,351.125854,3.57E-03,2.01E-03,1.03E-03,2.18E-03,7520.59033,22980.0078,3365.50391,11288.7002,3090.51074,3210.05322,1185.2749,2495.27954,0,0,0,0,606.302734,592.317505,215.106781,471.24234
4.00E+19,220,266017,236761.656,94032.5391,198937.062,-116.005386,-83.8315201,-103.247559,-101.02816,1.18447185,1.0517776,0.434541136,0.890263557,415.086914,369.4375,146.726242,310.416901,3.58E-03,1.66E-03,1.00E-03,2.03E-03,6274.9834,9086.75684,2462.84717,5941.5293,2390.44824,2038.68274,853.279541,1760.80334,0,0,0,0,606.500183,496.60321,200.802414,434.635254
6.00E+19,220,394396.719,308983.875,130992.125,278124.25,-91.0511627,-68.5040665,-85.6064377,-81.7205582,1.79384351,1.40800488,0.625470757,1.27577305,410.27179,321.420929,136.264755,289.319183,3.27E-03,1.45E-03,9.60E-04,1.86E-03,5387.08838,6903.29932,1974.05225,4754.81299,2052.22876,1582.94043,705.389954,1446.85303,0,0,0,0,620.941833,447.32196,194.413818,420.892548
8.00E+19,220,514327.938,374713.156,167094.172,352045.094,-74.8401871,-57.5819473,-74.4197922,-68.9473038,2.43736577,1.72256529,0.811401427,1.65711081,401.272797,292.346954,130.364975,274.661591,2.88E-03,1.24E-03,9.25E-04,1.67E-03,4696.18994,5644.14893,1684.48169,4008.27344,1843.00476,1316.70129,618.338074,1259.34802,0,0,0,0,634.110352,422.113922,194.219604,416.814606
1.00E+20,220,620050.625,431352.938,201878,417760.5,-65.3040466,-48.94804,-65.7149963,-59.9890289,3.05514908,2.02024627,1.00030386,2.02523303,387.005157,269.229309,126.002335,260.745605,2.64E-03,1.03E-03,8.72E-04,1.50E-03,4129.33789,4713.64551,1466.84497,3436.60938,1708.95361,1141.0835,561.888794,1137.30859,0,0,0,0,634.680237,401.385437,195.82254,410.629395
1.00E+16,240,70.5233612,133.535095,37.0709419,80.3764648,-812.18927,-710.770996,-749.879944,-757.613342,3.00E-04,4.88E-04,1.60E-04,3.16E-04,440.172241,833.46051,231.378632,501.670502,4.65E-05,6.75E-05,2.08E-05,4.61E-05,8251.29785,144087.188,4870.19678,52402.8945,363357.188,206880.203,52720.0664,207652.484,0,0,0,0,478.377228,909.448914,251.506943,546.444397
2.00E+16,240,140.638336,262.679749,73.4334717,158.917191,-752.723022,-652.524597,-691.117737,-698.788391,5.98E-04,9.64E-04,3.18E-04,6.27E-04,438.897675,819.759033,229.167831,495.941528,7.97E-05,1.12E-04,3.51E-05,7.76E-05,8250.0752,143868.734,4868.6875,52329.168,240905.422,144393.609,37169.6992,140822.906,0,0,0,0,478.454163,908.755493,251.427017,546.212219
4.00E+16,240,280.004395,514.479614,145.020157,313.16806,-693.136719,-594.676331,-632.702332,-640.171814,1.19E-03,1.90E-03,6.30E-04,1.24E-03,436.912476,802.782288,226.286163,488.660309,1.35E-04,1.82E-04,5.81E-05,1.28E-04,8236.7793,143431.391,4862.69482,52176.9531,157436.219,100659.141,26457.0117,94850.7891,0,0,0,0,478.475342,907.434021,251.326797,545.745422
6.00E+16,240,418.746643,760.57196,215.53746,464.952026,-658.453064,-561.025635,-598.690674,-606.056458,1.77E-03,2.82E-03,9.38E-04,1.84E-03,435.601837,791.186096,224.213165,483.667023,1.82E-04,2.39E-04,7.73E-05,1.71E-04,8234.33594,142997.438,4859.67773,52030.4844,121319.023,81101.5078,21515.2852,74645.2734,0,0,0,0,478.628601,906.057922,251.167877,545.28479
8.00E+16,240,556.938904,1002.56549,285.26062,614.921692,-633.870056,-537.244019,-574.648071,-581.920715,2.36E-03,3.73E-03,1.24E-03,2.44E-03,434.517395,782.190186,222.557083,479.754883,2.24E-04,2.89E-04,9.42E-05,2.08E-04,8231.89844,142565.188,4856.66357,51884.582,100393.539,69472.9531,18566.8672,62811.125,0,0,0,0,478.781708,904.68811,251.009491,544.826477
1.00E+17,240,694.666138,1241.30554,354.338745,763.436829,-614.817749,-518.853821,-556.053955,-563.241882,2.94E-03,4.63E-03,1.55E-03,3.04E-03,433.576508,774.761963,221.160858,476.499786,2.63E-04,3.34E-04,1.10E-04,2.42E-04,8229.46875,142134.625,4853.65283,51739.25,86461.8125,61557.9922,16553.7832,54857.8633,0,0,0,0,478.934662,903.324524,250.851608,544.370239
2.00E+17,240,1377.89075,2400.29541,692.678589,1490.28821,-555.731873,-462.065369,-498.628784,-505.475342,5.84E-03,9.04E-03,3.04E-03,5.97E-03,430.005859,749.073242,216.167999,465.082367,4.26E-04,5.12E-04,1.72E-04,3.81E-04,8217.41602,140006.906,4838.646,51020.9883,53626.6328,42051.0586,11558.2051,35745.2969,0,0,0,0,479.696899,896.598999,250.070145,542.122009
4.00E+17,240,2725.41528,4662.81982,1346.81824,2911.68457,-496.784302,-404.36795,-441.803711,-447.651978,1.16E-02,1.78E-02,5.95E-03,1.18E-02,425.267609,727.575867,210.154465,454.332642,6.73E-04,7.62E-04,2.63E-04,5.83E-04,8184.49023,135365.766,4807.13428,49452.4648,32729.5254,28835.418,8050.68457,23205.2109,0,0,0,0,481.295654,883.713928,248.587753,537.865784
6.00E+17,240,4055.74536,6801.18066,1981.65198,4279.52588,-462.392181,-371.809845,-408.841339,-414.347778,1.73E-02,2.63E-02,8.79E-03,1.74E-02,421.899506,707.493835,206.141647,445.178314,8.67E-04,9.40E-04,3.31E-04,7.35E-04,8161.4541,131407.391,4777.66504,48115.5039,24386.2285,22902.1895,6501.94141,17930.1191,0,0,0,0,482.792175,871.285034,247.113464,533.730225
8.00E+17,240,5373.78467,8866.77441,2602.9209,5614.49365,-438.023804,-348.957275,-385.606964,-390.862671,2.30E-02,3.45E-02,1.16E-02,2.30E-02,419.256561,691.775635,203.076935,438.036377,1.03E-03,1.08E-03,3.87E-04,8.58E-04,8139.00537,127599.664,4748.51074,46829.0625,19785.6016,19441.0059,5587.70166,14938.1045,0,0,0,0,484.27182,859.397583,245.686768,529.7854
1.00E+18,240,6682.50635,10872.8916,3213.56421,6922.98779,-419.138977,-331.407623,-367.683624,-372.743408,2.86E-02,4.26E-02,1.43E-02,2.85E-02,417.089233,678.632507,200.57489,432.098877,1.17E-03,1.19E-03,4.34E-04,9.62E-04,8117.10986,123936.211,4719.66895,45591,16836.832,17123.9277,4969.93066,12976.8955,0,0,0,0,485.734253,848.022949,244.305618,526.020935
2.00E+18,240,13147.6914,20241.6172,6152.43359,13180.5811,-360.650879,-278.248322,-312.543274,-317.147491,5.70E-02,8.11E-02,2.77E-02,5.53E-02,410.307159,631.691162,192.00235,411.333527,1.71E-03,1.57E-03,6.01E-04,1.33E-03,8002.7666,107571.5,4574.37354,40049.5469,10491.167,11647.0742,3496.42603,8544.88965,0,0,0,0,493.178986,798.078125,238.112686,509.789917
