Carrier Concentration,Temperature,Conducitivty x,Conducitivty y,Conducitivty z,Conducitivty ave,Seebeck x,Seebeck y,Seebeck z,Seebeck ave,Kele x,Kele y,Kele z,Kele ave,Mobility x,Mobility y,Mobility z,Mobility ave,PF x,PF y,PF z,PF ave,ADP,ADP,ADP,ADP,IMP,IMP,IMP,IMP,PIE,PIE,PIE,PIE,POP,POP,POP,POP
6.00E+18,220,62434.6016,101085.375,40566.4297,68028.8047,-278.921783,-168.343109,-188.587189,-211.950684,0.278047115,0.431650341,0.180346847,0.296681434,649.476929,1051.54224,421.992889,707.670654,4.86E-03,2.86E-03,1.44E-03,3.06E-03,13442.5176,39502.0352,12614.5557,21853.0371,10140.0879,11886.498,5069.72217,9032.10254,0,0,0,0,806.971558,1270.28625,511.559509,862.939148
8.00E+18,220,85204.6875,124994.688,51260.7695,87153.3828,-253.859543,-152.472,-171.594177,-192.641907,0.374964207,0.543525755,0.22901386,0.382501274,664.757263,975.194336,399.930695,679.960754,5.49E-03,2.91E-03,1.51E-03,3.23E-03,12976.5879,34380.9102,11114.498,19490.666,8906.88477,10090.6338,4427.62158,7808.38037,0,0,0,0,841.181152,1192.19373,489.093903,840.822937
1.00E+19,220,108616.297,146401.953,61193.7891,105404.008,-234.494537,-141.246048,-159.101898,-178.280838,0.475565016,0.644166768,0.274909377,0.464880377,677.929565,913.769104,381.941559,657.880066,5.97E-03,2.92E-03,1.55E-03,3.35E-03,12353.9688,30353.5488,9954.95703,17554.1582,8118.78516,8857.15918,3979.79688,6985.24756,0,0,0,0,871.044678,1126.89685,470.837769,822.926453
2.00E+19,220,230291.438,234067.156,103853.922,189404.172,-176.557648,-110.909241,-123.572914,-137.01326,1.02213335,1.04731977,0.476152003,0.848535061,718.683044,730.466125,324.10257,591.083923,7.18E-03,2.88E-03,1.59E-03,3.56E-03,11311.4004,19023.3047,6391.20947,12241.9717,6546.17773,5864.51562,2831.54077,5080.74463,0,0,0,0,975.154297,929.424988,413.565735,772.715027
4.00E+19,220,476565.438,372388.312,172727.125,340560.281,-125.870262,-81.561676,-92.0727768,-99.8349075,2.19133544,1.67867398,0.832276285,1.56742859,743.621887,581.066284,269.51947,531.402588,7.55E-03,2.48E-03,1.46E-03,3.39E-03,9578.57324,11008.9424,4121.30518,8236.27344,5311.56006,3714.52124,1909.62903,3645.23657,0,0,0,0,1074.16919,783.220398,366.457611,741.28241
6.00E+19,220,726369.125,483458.062,230375.797,480067.656,-99.8110046,-64.2555695,-77.730484,-80.5990219,3.42295957,2.27233315,1.18447948,2.29325747,755.606567,502.917999,239.648773,499.391113,7.24E-03,2.00E-03,1.39E-03,3.12E-03,8252.77246,7433.64453,3026.87378,6237.76367,4727.09277,2862.23145,1519.20251,3036.17554,0,0,0,0,1142.82642,712.355713,345.976349,733.719482
8.00E+19,220,971585.375,571997.625,284211.5,609264.812,-83.2025146,-54.8967209,-71.3513336,-69.8168564,4.72470951,2.79460859,1.50941336,3.00957704,758.019836,446.266052,221.738571,475.341461,6.73E-03,1.72E-03,1.45E-03,2.97E-03,7185.10596,5655.40625,2297.07959,5045.86377,4417.56885,2825.323,1336.11438,2859.6687,0,0,0,0,1197.81421,656.076599,339.395813,731.09552
1.00E+20,220,1197950,648417.25,338592,728319.75,-73.0304718,-49.6523438,-67.7668686,-63.4832268,5.99245882,3.22888255,1.80609107,3.67581081,747.701599,404.710205,211.33252,454.581451,6.39E-03,1.60E-03,1.55E-03,2.94E-03,6274.02881,4624.70703,1869.95691,4256.23096,4238.02637,2177.9165,1235.75623,2550.56641,0,0,0,0,1227.57263,612.842773,341.445343,727.286926
1.00E+16,240,96.2696304,205.185516,84.1383286,128.531158,-835.170715,-701.014526,-709.706116,-748.630432,5.05E-04,8.39E-04,3.96E-04,5.80E-04,600.867798,1280.66736,525.150146,802.228455,6.71E-05,1.01E-04,4.24E-05,7.20E-05,15051.3076,53571.7031,17433.1074,28685.373,721878,349091.062,112145.734,394371.594,0,0,0,0,660.684265,1347.02075,563.497986,857.067688
2.00E+16,240,192.210175,409.029663,167.105118,256.11499,-775.654236,-641.488647,-650.693176,-689.278625,1.01E-03,1.67E-03,7.88E-04,1.16E-03,599.840759,1276.4812,521.49408,799.272034,1.16E-04,1.68E-04,7.08E-05,1.22E-04,15040.2852,53521.9062,17414.4648,28658.8848,474934.062,244684.969,79495.3516,266371.469,0,0,0,0,660.884094,1346.54968,563.124878,856.852844
4.00E+16,240,383.556854,814.144287,330.992401,509.564545,-716.215149,-582.070374,-591.967896,-630.084473,2.00E-03,3.34E-03,1.56E-03,2.30E-03,598.493408,1270.37231,516.473022,795.112976,1.97E-04,2.76E-04,1.16E-04,2.02E-04,15018.3604,53422.5352,17377.3027,28606.0684,307004.875,171596.203,56444.9297,178348.672,0,0,0,0,661.283447,1345.60767,562.382385,856.4245
6.00E+16,240,574.4198,1216.56226,492.884277,761.288757,-681.490112,-547.388184,-557.79425,-595.557556,3.00E-03,4.99E-03,2.33E-03,3.44E-03,597.541077,1265.53076,512.723633,791.931824,2.67E-04,3.65E-04,1.53E-04,2.70E-04,14996.5947,53323.4609,17340.3086,28553.4531,235807.906,139322.641,46228.832,140453.141,0,0,0,0,661.682495,1344.6665,561.645081,855.998047
8.00E+16,240,764.666748,1617.18469,653.319153,1011.72357,-656.724304,-522.929993,-533.685303,-571.11322,3.98E-03,6.66E-03,3.09E-03,4.57E-03,596.584229,1261.70898,509.712128,789.335144,3.30E-04,4.42E-04,1.86E-04,3.30E-04,14963.3018,53217.4336,17298.8691,28493.2012,195852.109,121304.836,40616.6641,119257.867,0,0,0,0,662.275513,1344.58301,561.300293,856.052917
1.00E+17,240,954.843323,2015.44604,812.343262,1260.87756,-637.647156,-503.914154,-515.024292,-552.19519,4.96E-03,8.30E-03,3.84E-03,5.70E-03,595.966309,1257.94238,507.02478,786.977844,3.88E-04,5.12E-04,2.15E-04,3.84E-04,14941.8379,53118.9609,17262.2051,28441,168528.672,108055.531,36401.1094,104328.438,0,0,0,0,662.674316,1343.64429,560.57373,855.630798
2.00E+17,240,1903.05859,3981.23291,1591.9552,2492.08228,-578.477295,-445.107056,-457.526642,-493.703644,9.85E-03,1.65E-02,7.55E-03,1.13E-02,593.897827,1242.44507,496.81015,777.717712,6.37E-04,7.89E-04,3.33E-04,6.07E-04,14836.8379,52631.1055,17081.3613,28183.1016,104531.258,75186.6875,25908.957,68542.2969,0,0,0,0,664.664795,1338.96265,557.015747,853.547668
4.00E+17,240,3791.49512,7810.09766,3095.64209,4899.07812,-519.235474,-386.924683,-400.936829,-435.698975,1.94E-02,3.26E-02,1.47E-02,2.22E-02,591.616272,1218.6698,483.036957,764.440979,1.02E-03,1.17E-03,4.98E-04,9.30E-04,14628.0967,51675.918,16729.4395,27677.8184,64227.7422,52141.6875,18489.5566,44952.9961,0,0,0,0,668.676575,1329.78772,550.344971,849.603088
